"Date","Price","Open","High","Low","Vol.","Change %"
"03/13/2025","12,209.73","12,115.24","12,231.83","12,115.24","1.19B","0.78%"
"03/12/2025","12,115.24","12,006.13","12,129.40","12,006.13","1.12B","0.91%"
"03/11/2025","12,006.13","11,968.97","12,006.13","11,909.95","748.99M","0.31%"
"03/10/2025","11,968.97","11,983.17","12,067.38","11,958.60","680.35M","-0.12%"
"03/09/2025","11,983.17","11,867.56","12,016.53","11,867.56","881.74M","0.97%"
"03/06/2025","11,867.56","11,840.45","11,872.73","11,840.45","698.42M","0.23%"
"03/05/2025","11,840.45","11,934.24","11,944.43","11,817.58","774.32M","-0.79%"
"03/04/2025","11,934.24","11,967.75","11,986.40","11,922.81","756.93M","-0.28%"
"03/03/2025","11,967.75","11,935.95","11,994.63","11,935.95","798.81M","0.27%"
"03/02/2025","11,935.95","11,910.97","11,970.31","11,910.97","592.19M","0.21%"
"02/27/2025","11,910.97","11,905.04","11,970.62","11,901.84","1.18B","0.05%"
"02/26/2025","11,905.04","11,904.20","11,981.92","11,892.87","771.66M","0.01%"
"02/25/2025","11,904.20","11,975.33","12,028.94","11,896.44","843.20M","-0.59%"
"02/24/2025","11,975.33","11,977.66","12,041.99","11,973.15","1.06B","-0.02%"
"02/23/2025","11,977.66","11,875.52","11,996.66","11,862.26","868.82M","0.86%"
"02/20/2025","11,875.52","11,824.94","11,891.05","11,824.94","852.24M","0.43%"
"02/19/2025","11,824.94","11,803.00","11,873.16","11,803.00","1.13B","0.19%"
"02/18/2025","11,803.00","11,731.71","11,803.00","11,731.71","1.07B","0.61%"
"02/17/2025","11,731.71","11,735.55","11,810.88","11,719.03","1.05B","-0.03%"
"02/16/2025","11,735.55","11,504.52","11,735.55","11,504.52","1.11B","2.01%"
"02/13/2025","11,504.52","11,405.26","11,519.32","11,405.26","1.50B","0.87%"
"02/12/2025","11,405.26","11,402.44","11,405.26","11,208.94","1.49B","0.02%"
"02/11/2025","11,402.44","11,756.69","11,782.76","11,397.15","1.76B","-3.01%"
"02/10/2025","11,756.69","11,742.18","11,816.15","11,742.18","1.95B","0.12%"
"02/09/2025","11,742.18","11,731.98","11,864.07","11,731.98","1.74B","0.09%"
"02/06/2025","11,731.98","11,652.88","11,735.65","11,652.88","1.30B","0.68%"
"02/05/2025","11,652.88","11,650.02","11,697.20","11,625.59","1.30B","0.02%"
"02/04/2025","11,650.02","11,566.52","11,702.53","11,566.52","1.82B","0.72%"
"02/03/2025","11,566.52","11,726.60","11,738.73","11,566.52","740.11M","-1.37%"
"02/02/2025","11,726.60","11,698.14","11,792.91","11,698.14","1.16B","0.24%"
"01/30/2025","11,698.14","11,733.97","11,810.27","11,695.77","1.22B","-0.31%"
"01/29/2025","11,733.97","11,623.06","11,771.59","11,623.06","1.32B","0.95%"
"01/28/2025","11,623.06","11,498.53","11,650.24","11,498.53","834.66M","1.08%"
"01/27/2025","11,498.53","11,676.48","11,731.26","11,498.53","1.19B","-1.52%"
"01/26/2025","11,676.48","11,666.54","11,762.13","11,666.54","1.39B","0.09%"
"01/23/2025","11,666.54","11,679.43","11,750.22","11,641.06","1.37B","-0.11%"
"01/22/2025","11,679.43","11,603.24","11,757.55","11,603.24","1.79B","0.66%"
"01/21/2025","11,603.24","11,475.58","11,622.22","11,475.58","2.12B","1.11%"
"01/20/2025","11,475.58","11,449.25","11,517.73","11,400.46","1.45B","0.23%"
"01/19/2025","11,449.25","11,326.45","11,487.22","11,326.45","939.58M","1.08%"
"01/16/2025","11,326.45","11,199.23","11,336.24","11,199.23","712.70M","1.14%"
"01/15/2025","11,199.23","11,036.55","11,199.23","11,036.55","692.46M","1.47%"
"01/14/2025","11,036.55","11,012.22","11,064.52","10,764.28","826.16M","0.22%"
"01/13/2025","11,012.22","11,223.18","11,362.55","11,012.22","646.56M","-1.88%"
"01/12/2025","11,223.18","11,376.82","11,376.82","11,178.41","578.92M","-1.35%"
"01/09/2025","11,376.82","11,405.40","11,470.32","11,373.44","649.06M","-0.25%"
"01/08/2025","11,405.40","11,458.95","11,470.60","11,363.05","716.24M","-0.47%"
"01/06/2025","11,458.95","11,546.81","11,583.30","11,444.96","1.00B","-0.76%"
"01/05/2025","11,546.81","11,418.11","11,547.89","11,418.11","755.18M","1.13%"
"01/02/2025","11,418.11","11,217.62","11,429.13","11,217.62","634.49M","1.79%"
"12/31/2024","11,217.62","10,993.70","11,217.62","10,993.70","680.60M","2.04%"
"12/30/2024","10,993.70","11,181.23","11,208.73","10,970.58","935.82M","-1.68%"
"12/29/2024","11,181.23","11,269.09","11,296.65","11,163.59","786.39M","-0.78%"
"12/26/2024","11,269.09","11,275.97","11,310.57","11,247.04","624.60M","-0.06%"
"12/25/2024","11,275.97","11,251.98","11,382.67","11,251.98","914.86M","0.21%"
"12/24/2024","11,251.98","11,298.43","11,300.25","11,154.87","824.88M","-0.41%"
"12/23/2024","11,298.43","11,558.99","11,577.37","11,298.43","1.09B","-2.25%"
"12/22/2024","11,558.99","11,532.93","11,649.12","11,532.93","1.13B","0.23%"
"12/19/2024","11,532.93","11,538.76","11,538.76","11,385.85","781.68M","-0.05%"
"12/18/2024","11,538.76","11,731.66","11,770.83","11,533.87","1.05B","-1.64%"
"12/17/2024","11,731.66","11,739.62","11,821.43","11,727.07","1.26B","-0.07%"
"12/16/2024","11,739.62","11,777.22","11,835.75","11,731.64","1.14B","-0.32%"
"12/15/2024","11,777.22","11,735.07","11,802.03","11,714.90","1.41B","0.36%"
"12/12/2024","11,735.07","11,677.75","11,770.41","11,677.75","1.56B","0.49%"
"12/11/2024","11,677.75","11,619.78","11,729.02","11,619.00","1.15B","0.50%"
"12/10/2024","11,619.78","11,742.74","11,773.65","11,611.48","1.10B","-1.05%"
"12/09/2024","11,742.74","11,800.69","11,885.62","11,736.80","1.10B","-0.49%"
"12/08/2024","11,800.69","11,746.58","11,855.93","11,746.58","713.66M","0.46%"
"12/05/2024","11,746.58","11,669.20","11,781.47","11,669.20","797.34M","0.66%"
"12/04/2024","11,669.20","11,603.59","11,699.33","11,603.59","723.20M","0.57%"
"12/03/2024","11,603.59","11,568.98","11,657.00","11,568.98","729.21M","0.30%"
"12/02/2024","11,568.98","11,546.80","11,631.84","11,546.80","899.70M","0.19%"
"12/01/2024","11,546.80","11,379.84","11,547.95","11,379.84","700.11M","1.47%"
"11/28/2024","11,379.84","11,329.18","11,379.84","11,238.30","555.60M","0.45%"
"11/27/2024","11,329.18","11,482.10","11,551.60","11,317.20","812.36M","-1.33%"
"11/26/2024","11,482.10","11,456.15","11,537.23","11,432.01","755.16M","0.23%"
"11/25/2024","11,456.15","11,514.66","11,607.38","11,448.14","940.36M","-0.51%"
"11/24/2024","11,514.66","11,522.45","11,616.65","11,514.66","786.87M","-0.07%"
"11/21/2024","11,522.45","11,459.08","11,588.08","11,459.08","847.52M","0.55%"
"11/20/2024","11,459.08","11,468.97","11,552.55","11,428.78","1.07B","-0.09%"
"11/19/2024","11,468.97","11,503.18","11,546.42","11,448.83","1.11B","-0.30%"
"11/18/2024","11,503.18","11,644.97","11,707.62","11,503.18","800.03M","-1.22%"
"11/17/2024","11,644.97","11,667.71","11,710.26","11,617.35","747.28M","-0.19%"
"11/14/2024","11,667.71","11,581.56","11,704.91","11,581.56","638.16M","0.74%"
"11/13/2024","11,581.56","11,638.54","11,689.49","11,577.33","804.79M","-0.49%"
"11/12/2024","11,638.54","11,668.11","11,723.28","11,607.32","1.47B","-0.25%"
"11/11/2024","11,668.11","11,628.24","11,688.92","11,628.24","1.46B","0.34%"
"11/10/2024","11,628.24","11,504.66","11,632.04","11,504.66","913.73M","1.07%"
"11/07/2024","11,504.66","11,445.85","11,522.94","11,445.85","828.50M","0.51%"
"11/06/2024","11,445.85","11,315.07","11,447.50","11,315.07","1.37B","1.16%"
"11/05/2024","11,315.07","11,320.00","11,376.63","11,308.66","934.04M","-0.04%"
"11/04/2024","11,320.00","11,337.56","11,421.30","11,315.99","783.46M","-0.15%"
"11/03/2024","11,337.56","11,224.93","11,372.72","11,224.93","783.77M","1.00%"
"10/31/2024","11,224.93","11,073.52","11,247.12","11,073.52","832.99M","1.37%"
"10/30/2024","11,073.52","11,109.72","11,181.51","11,058.48","721.32M","-0.33%"
"10/29/2024","11,109.72","11,124.96","11,226.29","11,099.27","928.83M","-0.14%"
"10/28/2024","11,124.96","11,141.33","11,208.29","11,113.88","848.43M","-0.15%"
"10/27/2024","11,141.33","11,067.58","11,188.49","11,067.58","787.73M","0.67%"
"10/24/2024","11,067.58","11,025.42","11,110.25","11,025.42","754.13M","0.38%"
"10/23/2024","11,025.42","11,048.26","11,164.60","11,019.06","874.35M","-0.21%"
"10/22/2024","11,048.26","10,852.87","11,053.87","10,852.87","848.45M","1.80%"
"10/21/2024","10,852.87","10,588.74","10,852.87","10,445.07","584.57M","2.49%"
"10/20/2024","10,588.74","10,779.27","10,845.50","10,569.37","525.74M","-1.77%"
"10/17/2024","10,779.27","10,856.48","10,919.19","10,773.27","540.88M","-0.71%"
"10/16/2024","10,856.48","10,713.28","10,994.23","10,713.28","707.40M","1.34%"
"10/15/2024","10,713.28","10,450.12","10,713.28","10,450.12","624.62M","2.52%"
"10/14/2024","10,450.12","10,398.66","10,499.03","10,283.14","494.83M","0.49%"
"10/13/2024","10,398.66","10,642.21","10,699.07","10,398.66","530.46M","-2.29%"
"10/10/2024","10,642.21","10,700.89","10,815.10","10,642.21","584.09M","-0.55%"
"10/09/2024","10,700.89","10,523.86","10,700.96","10,523.86","553.89M","1.68%"
"10/08/2024","10,523.86","10,828.39","10,867.38","10,402.77","747.87M","-2.81%"
"10/07/2024","10,828.39","10,784.46","10,982.60","10,784.46","658.71M","0.41%"
"10/03/2024","10,784.46","10,612.36","10,784.46","10,612.36","677.26M","1.62%"
"10/02/2024","10,612.36","10,833.57","10,833.57","10,612.36","827.84M","-2.04%"
"10/01/2024","10,833.57","10,732.02","10,876.66","10,732.02","840.33M","0.95%"
"09/30/2024","10,732.02","10,669.45","10,749.34","10,669.45","792.30M","0.59%"
"09/29/2024","10,669.45","10,577.64","10,682.81","10,577.64","733.11M","0.87%"
"09/26/2024","10,577.64","10,563.70","10,680.44","10,563.70","847.19M","0.13%"
"09/25/2024","10,563.70","10,427.45","10,565.51","10,427.45","916.04M","1.31%"
"09/24/2024","10,427.45","10,417.14","10,480.30","10,394.05","795.66M","0.10%"
"09/23/2024","10,417.14","10,335.77","10,435.41","10,335.77","785.18M","0.79%"
"09/22/2024","10,335.77","10,169.55","10,335.77","10,169.55","621.37M","1.63%"
"09/19/2024","10,169.55","10,087.23","10,205.35","10,087.23","785.14M","0.82%"
"09/18/2024","10,087.23","9,987.36","10,087.23","9,974.55","573.13M","1.00%"
"09/17/2024","9,987.36","10,079.58","10,126.23","9,987.36","569.43M","-0.91%"
"09/16/2024","10,079.58","10,131.37","10,219.02","10,079.58","637.40M","-0.51%"
"09/12/2024","10,131.37","10,158.05","10,233.51","10,131.37","766.03M","-0.26%"
"09/11/2024","10,158.05","10,076.87","10,160.28","9,983.77","634.00M","0.81%"
"09/10/2024","10,076.87","10,180.45","10,242.78","10,059.73","824.23M","-1.02%"
"09/09/2024","10,180.45","10,212.71","10,294.25","10,180.45","1.04B","-0.32%"
"09/08/2024","10,212.71","10,351.12","10,414.33","10,199.20","688.94M","-1.34%"
"09/05/2024","10,351.12","10,330.20","10,453.81","10,330.20","1.10B","0.20%"
"09/04/2024","10,330.20","10,316.12","10,330.20","10,188.47","897.11M","0.14%"
"09/03/2024","10,316.12","10,196.81","10,356.49","10,196.81","794.13M","1.17%"
"09/02/2024","10,196.81","10,244.91","10,331.43","10,179.17","960.38M","-0.47%"
"09/01/2024","10,244.91","10,148.81","10,282.57","10,148.81","1.08B","0.95%"
"08/29/2024","10,148.81","10,135.12","10,200.64","10,103.61","946.59M","0.14%"
"08/28/2024","10,135.12","10,042.90","10,150.25","10,042.90","917.33M","0.92%"
"08/27/2024","10,042.90","9,943.81","10,042.90","9,941.56","965.65M","1.00%"
"08/26/2024","9,943.81","9,981.84","10,059.39","9,893.13","920.30M","-0.38%"
"08/25/2024","9,981.84","9,881.44","10,054.90","9,881.44","953.35M","1.02%"
"08/22/2024","9,881.44","9,828.82","9,981.51","9,828.82","1.11B","0.54%"
"08/21/2024","9,828.82","9,803.33","9,887.78","9,794.33","1.14B","0.26%"
